id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
181,74.5,17,74.75,16.75,-118.417,163.099,-90.0727,106.026,-192.803,152.651
180,74.5,17.25,74.75,17,-136.119,116.804,-86.1424,107.482,-153.17,147.834
179,74.5,17.5,74.75,17.25,-145.66,146.041,-89.0063,108.142,-201.68,162.677
178,74.5,17.75,74.75,17.5,-196.444,140.613,-86.2575,111.034,-184.775,180.319
177,74.5,18,74.75,17.75,-221.015,132.8,-85.3846,109.493,-168.053,181.909
176,74.5,18.25,74.75,18,-205.4,148.366,-76.97,106.555,-170.715,201.583
175,74.5,18.5,74.75,18.25,-133.356,187.633,-85.9577,125.267,-209.032,222.706
174,74.5,18.75,74.75,18.5,-112.738,195.021,-86.5786,127.96,-220.83,228.084
173,74.5,19,74.75,18.75,-144.096,162.878,-78.2839,126.995,-188.528,215.953
172,74.5,19.25,74.75,19,-170.688,132.318,-82.4961,116.867,-142.507,177.834
220,74.75,14.25,75,14,-65.128,119.538,-30.6592,67.1041,-43.2052,55.6436
219,74.75,14.5,75,14.25,-100.826,126.801,-37.5233,69.4172,-58.7741,68.2565
218,74.75,14.75,75,14.5,-129.676,160.114,-43.586,82.8054,-83.518,118.659
214,74.75,15.75,75,15.5,-106.433,150.133,-60.0817,78.5712,-93.6046,135.449
213,74.75,16,75,15.75,-149.963,156.426,-66.3385,85.3254,-102.721,154.625
212,74.75,16.25,75,16,-159.854,168.329,-69.9162,92.1467,-109.762,156.122
211,74.75,16.5,75,16.25,-167.771,177.298,-87.5437,101.438,-162.862,156.46
210,74.75,16.75,75,16.5,-160.381,172.149,-86.2829,100.497,-167.148,146.944
209,74.75,17,75,16.75,-131.676,180.681,-90.1013,98.1555,-183.441,143.582
208,74.75,17.25,75,17,-141.142,166.456,-90.454,104.678,-189.112,151.752
207,74.75,17.5,75,17.25,-163.367,164.544,-89.4626,107.946,-186.228,153.839
206,74.75,17.75,75,17.5,-218.279,169.075,-82.6993,113.941,-169.437,170.85
205,74.75,18,75,17.75,-177.283,178.077,-77.4444,118.853,-159.808,167.111
204,74.75,18.25,75,18,-142.241,178.462,-79.2014,128.385,-168.743,182.336
203,74.75,18.5,75,18.25,-173.864,191.556,-86.9585,124.886,-193.768,195.504
